energia_ren,pais,year,percentagem,mio_t_co2eq,meta_eu
REN,AT,2004,22.553,76.16585,19.947
REN,BE,2004,1.916,146.05407,40.584
REN,BG,2004,9.231,48.69074,33.269
REN,CY,2004,3.071,9.02067,39.429
REN,CZ,2004,6.773,139.10302,35.727000000000004
REN,DE,2004,6.207,1024.13037,36.293
REN,DK,2004,14.839,77.76726,27.661
REN,EE,2004,18.42,18.39079,24.08
REN,EL,2004,7.161,129.49193,35.339
REN,ES,2004,8.345,375.51946,34.155
REN,FI,2004,29.232,47.66438,13.268
REN,FR,2004,9.319,493.31814,33.181
REN,HR,2004,23.404,21.61964,19.096
REN,HU,2004,4.364,74.11611,38.136
REN,IE,2004,2.378,75.24233,40.122
REN,IT,2004,6.316,549.92732,36.184
REN,LT,2004,17.221,16.93292,25.279
REN,LU,2004,0.899,12.13778,41.601
REN,LV,2004,32.794,3.48282,9.706000000000003
REN,MT,2004,0.102,3.17247,42.398
REN,NL,2004,2.03,224.71241,40.47
REN,PL,2004,6.882,341.29746,35.618
REN,PT,2004,19.205,82.97295,23.295
REN,RO,2004,16.811,118.29609,25.689
REN,SE,2004,38.427,12.42323,4.073
REN,SI,2004,18.397,13.19647,24.103
REN,SK,2004,6.391,43.93226,36.109
REN_ELC,AT,2004,61.627,76.16585,-19.127000000000002
REN_ELC,BE,2004,1.714,146.05407,40.786
REN_ELC,BG,2004,8.358,48.69074,34.141999999999996
REN_ELC,CY,2004,0.019,9.02067,42.481
REN_ELC,CZ,2004,3.693,139.10302,38.807
REN_ELC,DE,2004,9.436,1024.13037,33.064
REN_ELC,DK,2004,23.754,77.76726,18.746
REN_ELC,EE,2004,0.546,18.39079,41.954
REN_ELC,EL,2004,7.842,129.49193,34.658
REN_ELC,ES,2004,19.018,375.51946,23.482
REN_ELC,FI,2004,26.711,47.66438,15.789000000000001
REN_ELC,FR,2004,13.782,493.31814,28.718
REN_ELC,HR,2004,35.027,21.61964,7.472999999999999
REN_ELC,HU,2004,2.22,74.11611,40.28
REN_ELC,IE,2004,6.031,75.24233,36.469
REN_ELC,IT,2004,16.086,549.92732,26.414
REN_ELC,LT,2004,3.587,16.93292,38.913
REN_ELC,LU,2004,2.765,12.13778,39.735
REN_ELC,LV,2004,45.958,3.48282,-3.4579999999999984
REN_ELC,MT,2004,0.0,3.17247,42.5
REN_ELC,NL,2004,4.446,224.71241,38.054
REN_ELC,PL,2004,2.049,341.29746,40.451
REN_ELC,PT,2004,27.39,82.97295,15.11
REN_ELC,RO,2004,28.427,118.29609,14.073
REN_ELC,SE,2004,51.196,12.42323,-8.695999999999998
REN_ELC,SI,2004,29.271,13.19647,13.229
REN_ELC,SK,2004,15.403,43.93226,27.097
REN_HEAT_CL,AT,2004,20.165,76.16585,22.335
REN_HEAT_CL,BE,2004,2.927,146.05407,39.573
REN_HEAT_CL,BG,2004,14.056,48.69074,28.444000000000003
REN_HEAT_CL,CY,2004,9.264,9.02067,33.236000000000004
REN_HEAT_CL,CZ,2004,9.918,139.10302,32.582
REN_HEAT_CL,DE,2004,7.198,1024.13037,35.302
REN_HEAT_CL,DK,2004,20.501,77.76726,21.999
REN_HEAT_CL,EE,2004,33.361,18.39079,9.139000000000003
REN_HEAT_CL,EL,2004,13.465,129.49193,29.035
REN_HEAT_CL,ES,2004,9.55,375.51946,32.95
REN_HEAT_CL,FI,2004,39.504,47.66438,2.996000000000002
REN_HEAT_CL,FR,2004,12.531,493.31814,29.969
REN_HEAT_CL,HR,2004,29.406,21.61964,13.094000000000001
REN_HEAT_CL,HU,2004,6.45,74.11611,36.05
REN_HEAT_CL,IE,2004,2.873,75.24233,39.627
REN_HEAT_CL,IT,2004,5.713,549.92732,36.787
REN_HEAT_CL,LT,2004,30.439,16.93292,12.061
REN_HEAT_CL,LU,2004,1.822,12.13778,40.678
REN_HEAT_CL,LV,2004,42.488,3.48282,0.012000000000000455
REN_HEAT_CL,MT,2004,1.035,3.17247,41.465
REN_HEAT_CL,NL,2004,2.178,224.71241,40.322
REN_HEAT_CL,PL,2004,10.207,341.29746,32.293
REN_HEAT_CL,PT,2004,32.49,82.97295,10.009999999999998
REN_HEAT_CL,RO,2004,17.337,118.29609,25.163
REN_HEAT_CL,SE,2004,45.929,12.42323,-3.429000000000002
REN_HEAT_CL,SI,2004,22.824,13.19647,19.676
REN_HEAT_CL,SK,2004,5.062,43.93226,37.438
REN_TRA,AT,2004,4.532,76.16585,37.968
REN_TRA,BE,2004,0.642,146.05407,41.858
REN_TRA,BG,2004,0.971,48.69074,41.529
REN_TRA,CY,2004,0.0,9.02067,42.5
REN_TRA,CZ,2004,1.203,139.10302,41.297
REN_TRA,DE,2004,2.136,1024.13037,40.364
REN_TRA,DK,2004,0.445,77.76726,42.055
REN_TRA,EE,2004,0.2,18.39079,42.3
REN_TRA,EL,2004,0.087,129.49193,42.413
REN_TRA,ES,2004,1.035,375.51946,41.465
REN_TRA,FI,2004,1.01,47.66438,41.49
REN_TRA,FR,2004,0.783,493.31814,41.717
REN_TRA,HR,2004,0.995,21.61964,41.505
REN_TRA,HU,2004,1.016,74.11611,41.484
REN_TRA,IE,2004,0.044,75.24233,42.456
REN_TRA,IT,2004,1.213,549.92732,41.287
REN_TRA,LT,2004,0.446,16.93292,42.054
REN_TRA,LU,2004,0.138,12.13778,42.362
REN_TRA,LV,2004,2.139,3.48282,40.361
REN_TRA,MT,2004,0.0,3.17247,42.5
REN_TRA,NL,2004,0.515,224.71241,41.985
REN_TRA,PL,2004,1.581,341.29746,40.919
REN_TRA,PT,2004,0.424,82.97295,42.076
REN_TRA,RO,2004,1.819,118.29609,40.681
REN_TRA,SE,2004,6.288,12.42323,36.212
REN_TRA,SI,2004,0.85,13.19647,41.65
REN_TRA,SK,2004,1.5,43.93226,41.0
REN,AT,2005,24.353,77.89928,18.147
REN,BE,2005,2.325,142.81759,40.175
REN,BG,2005,9.173,48.38235,33.327
REN,CY,2005,3.131,9.1627,39.369
REN,CZ,2005,7.113,137.10309,35.387
REN,DE,2005,7.167,1000.23789,35.333
REN,DK,2005,15.955,73.25151,26.545
REN,EE,2005,17.478,17.7136,25.022
REN,EL,2005,7.277,133.1957,35.223
REN,ES,2005,8.444,389.17408,34.056
REN,FI,2005,28.814,35.54575,13.686
REN,FR,2005,9.272,495.06989,33.228
REN,HR,2005,23.691,21.8555,18.809
REN,HU,2005,6.931,71.50558,35.569
REN,IE,2005,2.822,76.359,39.678
REN,IT,2005,7.549,549.71191,34.951
REN,LT,2005,16.768,18.68277,25.732
REN,LU,2005,1.402,12.43828,41.098
REN,LV,2005,32.264,4.05804,10.235999999999997
REN,MT,2005,0.123,2.98617,42.377
REN,NL,2005,2.478,218.72521,40.022
REN,PL,2005,6.867,341.83969,35.633
REN,PT,2005,19.523,91.31144,22.977
REN,RO,2005,17.571,115.78886,24.929
REN,SE,2005,39.982,8.18075,2.5180000000000007
REN,SI,2005,19.809,13.42284,22.691
REN,SK,2005,6.36,48.0176,36.14
REN_ELC,AT,2005,62.901,77.89928,-20.401000000000003
REN_ELC,BE,2005,2.386,142.81759,40.114
REN_ELC,BG,2005,8.666,48.38235,33.834
REN_ELC,CY,2005,0.024,9.1627,42.476
REN_ELC,CZ,2005,3.782,137.10309,38.718
REN_ELC,DE,2005,10.577,1000.23789,31.923000000000002
REN_ELC,DK,2005,24.647,73.25151,17.853
REN_ELC,EE,2005,1.127,17.7136,41.373
REN_ELC,EL,2005,8.213,133.1957,34.287
REN_ELC,ES,2005,19.166,389.17408,23.334
REN_ELC,FI,2005,26.918,35.54575,15.582
REN_ELC,FR,2005,13.738,495.06989,28.762
REN_ELC,HR,2005,35.184,21.8555,7.3160000000000025
REN_ELC,HU,2005,4.419,71.50558,38.081
REN_ELC,IE,2005,7.196,76.359,35.304
REN_ELC,IT,2005,16.293,549.71191,26.207
REN_ELC,LT,2005,3.831,18.68277,38.669
REN_ELC,LU,2005,3.179,12.43828,39.321
REN_ELC,LV,2005,43.023,4.05804,-0.5230000000000032
REN_ELC,MT,2005,0.0,2.98617,42.5
REN_ELC,NL,2005,6.297,218.72521,36.203
REN_ELC,PL,2005,2.512,341.83969,39.988
REN_ELC,PT,2005,27.703,91.31144,14.797
REN_ELC,RO,2005,28.775,115.78886,13.725000000000001
REN_ELC,SE,2005,50.899,8.18075,-8.399000000000001
REN_ELC,SI,2005,28.654,13.42284,13.846
REN_ELC,SK,2005,15.735,48.0176,26.765
REN_HEAT_CL,AT,2005,22.817,77.89928,19.683
REN_HEAT_CL,BE,2005,3.418,142.81759,39.082
REN_HEAT_CL,BG,2005,14.257,48.38235,28.243000000000002
REN_HEAT_CL,CY,2005,9.97,9.1627,32.53
REN_HEAT_CL,CZ,2005,10.835,137.10309,31.665
REN_HEAT_CL,DE,2005,7.711,1000.23789,34.789
REN_HEAT_CL,DK,2005,22.612,73.25151,19.888
REN_HEAT_CL,EE,2005,32.369,17.7136,10.131
